"ID_PARTICIPANTE";"DT_INICIO_BENEFICIO";"VL_VALOR"
"10123946";"12/01/2015";"3082,66"
"10123947";"05/08/2014";"3469,03"
"10123948";"28/07/2011";"3179,41"
"10123949";"13/05/2011";"2789,64"
"10123950";"23/11/2008";"2559,68"
"10123951";"13/01/2012";"3208,02"
"10123952";"01/02/2010";"2709,30"
"10123953";"24/02/2012";"4559,09"
"10123954";"30/01/2015";"2989,85"
"10123955";"08/08/2011";"2756,19"
"10123956";"28/11/2014";"3101,44"
"10123957";"02/12/2011";"2693,28"
"10123958";"12/06/2012";"2803,58"
"10123959";"01/04/2010";"2511,18"
"10123960";"17/04/2009";"2522,71"
"10123961";"12/02/2010";"3317,55"
"10123962";"16/03/2012";"4075,15"
"10123963";"01/10/2009";"3018,66"
"10123964";"12/06/2013";"3912,81"
"10123965";"01/02/2013";"2713,25"
"10123966";"25/03/2016";"4866,99"
"10123967";"16/08/2007";"4095,99"
"10123968";"11/05/2016";"4927,80"
"10123969";"01/11/2012";"3481,77"
"10123970";"29/06/2011";"2674,90"
"10123971";"13/11/2007";"3950,59"
"10123972";"24/03/2009";"2681,72"
"10123973";"02/07/2007";"3107,58"
"10123974";"01/11/2010";"2785,85"
"10123975";"01/09/2008";"3586,69"
"10123976";"07/01/2009";"2694,17"
"10123977";"14/11/2013";"2003,99"
"10123978";"30/11/2007";"4429,04"
"10123979";"14/05/2012";"2907,85"
"10123980";"28/11/2007";"2573,06"
"10123981";"25/01/2013";"3000,55"
"10123982";"06/11/2008";"2868,72"
"10123983";"15/05/2009";"2597,13"
"10123984";"25/07/2008";"2660,15"
"10123985";"01/07/2009";"2582,76"
"10123986";"12/07/2012";"3604,34"
"10123987";"20/06/2011";"1792,75"
"10123988";"17/05/2008";"2350,01"
"10123989";"10/01/2008";"3178,47"
"10123990";"12/04/2009";"3060,12"
"10123991";"14/08/2009";"2700,60"
"10123992";"01/04/2013";"3126,87"
"10123993";"20/01/2012";"2984,01"
"10123994";"02/12/2010";"2867,66"
"10123995";"07/12/2014";"3193,88"
"10123996";"15/08/2009";"2414,83"
"10123997";"06/03/2014";"3130,48"
"10123998";"20/02/2008";"2622,97"
"10123999";"02/12/2011";"3087,11"
"10124000";"01/04/2009";"2932,77"
"10124001";"03/10/2013";"2898,62"
"10124002";"03/04/2014";"3384,62"
"10124003";"06/02/2008";"3427,95"
"10124004";"18/11/2010";"2638,77"
"10124005";"01/04/2014";"3328,67"
"10124006";"10/02/2010";"2768,11"
"10124007";"19/12/2008";"3085,34"
"10124008";"12/02/2008";"2070,35"
"10124009";"09/02/2009";"2995,55"
"10124010";"19/11/2009";"3092,63"
"10124011";"03/01/2011";"2785,03"
"10124012";"11/01/2012";"2764,42"
"10124013";"10/02/2011";"2950,96"
"10124014";"05/10/2011";"2903,56"
"10124015";"28/01/2009";"2616,05"
"10124016";"09/03/2007";"2388,27"
"10124017";"12/12/2006";"2721,49"
"10124018";"08/04/2014";"3797,69"
"10124019";"15/04/2008";"2496,34"
"10124020";"29/12/2006";"2602,99"
"10124021";"13/01/2010";"2738,30"
"10124022";"03/09/2012";"2916,17"
"10124023";"27/10/2014";"3731,68"
"10124024";"29/05/2012";"2697,95"
"10124025";"10/09/2008";"3681,54"
"10124026";"28/06/2011";"3323,29"
"10124027";"26/01/2007";"2895,53"
"10124028";"27/06/2012";"3231,18"
"10124029";"19/08/2010";"2658,56"
"10124030";"13/02/2012";"2980,20"
"10124031";"14/02/2011";"2451,37"
"10124032";"01/09/2007";"2031,31"
"10124033";"28/07/2011";"4183,39"
"10124034";"10/01/2007";"3282,02"
"10124035";"01/05/2012";"3311,06"
"10124036";"27/02/2007";"4525,69"
"10124037";"14/12/2006";"2520,54"
"10124038";"30/07/2007";"3444,92"
"10124039";"17/03/2007";"3392,27"
"10124040";"17/11/2010";"3434,95"
"10124041";"05/09/2011";"2810,85"
"10124042";"14/01/2015";"3879,96"
"10124043";"12/01/2007";"2020,07"
"10124044";"01/08/2010";"3321,95"
"10124045";"01/07/2011";"1766,99"
"10124046";"06/12/2006";"4102,53"
"10124047";"28/02/2007";"3846,34"
"10124048";"14/11/2006";"3512,00"
"10124049";"08/11/2012";"3067,63"
"10124050";"08/06/2007";"3521,47"
"10124051";"01/04/2015";"3329,91"
"10124053";"18/03/2011";"3698,98"
"10124054";"26/11/2012";"3385,73"
"10124055";"19/08/2011";"3595,89"
"10124056";"29/05/2008";"4415,17"
"10124057";"11/07/2011";"2817,54"
"10124058";"07/02/2011";"3116,18"
"10124059";"07/01/2015";"3521,24"
"10124060";"06/07/2015";"4512,91"
"10124061";"12/06/2009";"3165,45"
"10124062";"25/06/2012";"3384,94"
"10124063";"17/04/2007";"4803,65"
"10124064";"26/02/2013";"3834,80"
"10124065";"21/09/2015";"4652,19"
"10124066";"12/11/2011";"4209,96"
"10124067";"01/02/2011";"3200,27"
"10124068";"30/06/2007";"3273,91"
"10124069";"02/02/2007";"3362,55"
"10124070";"31/01/2007";"3503,53"
"10124071";"10/08/2012";"3101,08"
"10124072";"30/07/2012";"4697,30"
"10124073";"05/03/2008";"3398,22"
"10124074";"30/04/2013";"4460,21"
"10124075";"06/01/2012";"5062,70"
"10124076";"22/04/2009";"4587,82"
"10124077";"24/02/2010";"4572,60"
"10124078";"05/07/2013";"3100,20"
"10124079";"29/02/2008";"3542,78"
"10124080";"02/04/2008";"3208,44"
"10124081";"01/04/2011";"2875,51"
"10124082";"27/08/2009";"3149,54"
"10124083";"14/01/2009";"3978,89"
"10124084";"11/06/2007";"4518,95"
"10124085";"09/06/2008";"2838,70"
"10124086";"24/01/2007";"3796,92"
"10124087";"06/06/2014";"3466,15"
"10124088";"01/12/2007";"2852,31"
"10124089";"17/05/2011";"2737,30"
"10124090";"23/09/2011";"3818,30"
"10124091";"05/09/2011";"3229,27"
"10124092";"04/11/2009";"3448,02"
"10124093";"04/05/2011";"2688,20"
"10124094";"13/08/2013";"3334,34"
"10124095";"21/02/2012";"3112,64"
"10124096";"12/01/2011";"2861,99"
"10124097";"15/09/2006";"3038,41"
"10124098";"26/10/2010";"3122,23"
"10124099";"19/11/2011";"2761,25"
"10124100";"10/04/2007";"3444,53"
"10124101";"26/02/2009";"3587,90"
"10124102";"02/07/2007";"2306,42"
"10124103";"06/12/2012";"3009,52"
"10124104";"17/08/2009";"2861,40"
"10124105";"01/05/2008";"2953,59"
"10124106";"07/12/2006";"1662,41"
"10124107";"05/03/2007";"3062,31"
"10124108";"03/12/2011";"2796,24"
"10124109";"14/01/2011";"2748,14"
"10124110";"12/12/2008";"3088,69"
"10124111";"21/12/2009";"4922,29"
"10124112";"03/05/2011";"3655,57"
"10124113";"05/04/2013";"3123,11"
"10124114";"23/10/2007";"2258,17"
"10124115";"16/11/2010";"3316,02"
"10124116";"31/12/2012";"3260,24"
"10124117";"24/06/2011";"2166,09"
"10124118";"29/11/2007";"2569,66"
"10124119";"08/11/2012";"3106,17"
